Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
MO_005.bin.9	f__Rhodobacteraceae (UID3356)	67	617	330	96.81	0.31	33.33	1110026	24374	3641	3641	365	357	304	298	2976	2878	34.5	5.84	-100.00	-1	-1	12	602	3	0	0	0
MO_007.bin.1	root (UID1)	5656	56	24	0.00	0.00	0.00	66794	1356	242	242	332	323	276	270	1092	1058	36.7	0.00	-100.00	-1	-1	56	0	0	0	0	0
MO_007.bin.10	c__Deltaproteobacteria (UID3216)	83	247	155	89.68	1.45	33.33	1310365	48605	4249	4249	393	379	308	296	3639	3353	37.5	4.96	-100.00	-1	-1	17	227	3	0	0	0
MO_007.bin.11	root (UID1)	5656	56	24	0.00	0.00	0.00	146826	3670	701	701	348	338	209	204	1463	1444	39.1	12.10	-100.00	-1	-1	56	0	0	0	0	0
MO_007.bin.12	root (UID1)	5656	56	24	4.17	0.00	0.00	72330	1660	240	240	373	364	301	294	1844	1797	36.0	3.82	-100.00	-1	-1	55	1	0	0	0	0
MO_007.bin.13	k__Bacteria (UID203)	5449	103	57	14.04	0.00	0.00	364241	13577	1110	1110	428	409	328	315	1391	1330	38.0	4.09	-100.00	-1	-1	94	9	0	0	0	0
MO_007.bin.14	c__Deltaproteobacteria (UID3216)	83	247	155	26.41	0.65	100.00	314621	8644	1041	1041	383	372	302	293	2248	2195	36.1	5.37	-100.00	-1	-1	183	63	1	0	0	0
MO_007.bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	372909	10014	1400	1400	391	384	266	259	1919	1857	34.0	8.13	-100.00	-1	-1	56	0	0	0	0	0
MO_007.bin.3	c__Gammaproteobacteria (UID4267)	119	544	284	51.57	1.29	12.50	631430	15429	2088	2088	401	389	302	295	1670	1595	36.6	5.25	-100.00	-1	-1	238	298	8	0	0	0
MO_007.bin.4	k__Archaea (UID2)	207	149	107	22.92	4.57	0.00	37434355	1358030	246446	246464	181	174	151	146	5630	5491	44.0	8.90	-100.00	-1	-1	107	35	3	3	1	0
MO_007.bin.5	c__Gammaproteobacteria (UID4267)	119	544	284	41.69	0.35	100.00	591515	17547	1923	1923	397	386	307	298	1872	1826	36.8	4.23	-100.00	-1	-1	313	230	1	0	0	0
MO_007.bin.6	root (UID1)	5656	56	24	0.00	0.00	0.00	102164	2976	491	491	292	282	208	202	2177	2081	35.3	7.95	-100.00	-1	-1	56	0	0	0	0	0
MO_007.bin.7	c__Alphaproteobacteria (UID3305)	564	349	230	48.30	1.23	25.00	768680	17087	2640	2640	367	358	291	284	1436	1402	36.0	4.53	-100.00	-1	-1	196	149	4	0	0	0
MO_007.bin.8	k__Bacteria (UID203)	5449	103	57	19.38	0.00	0.00	409575	12141	1352	1352	383	373	302	293	1485	1451	35.9	5.16	-100.00	-1	-1	83	20	0	0	0	0
MO_007.bin.9	k__Bacteria (UID203)	5449	104	58	15.52	0.00	0.00	84202	1925	319	319	316	309	263	257	1305	1265	36.4	0.00	-100.00	-1	-1	95	9	0	0	0	0
MO_010.bin.1	c__Deltaproteobacteria (UID3216)	83	247	155	58.69	1.08	50.00	769857	22139	2550	2550	384	373	301	293	2627	2507	36.3	4.84	-100.00	-1	-1	109	134	4	0	0	0
MO_010.bin.2	k__Archaea (UID2)	207	149	107	45.57	14.62	7.55	12181038	372624	90608	90635	163	159	134	130	6526	6254	45.4	12.18	-100.00	-1	-1	70	55	14	7	3	0
MO_010.bin.3	c__Deltaproteobacteria (UID3216)	83	247	155	86.13	0.00	0.00	1276087	47218	4220	4220	387	374	302	291	2987	2806	37.5	5.04	-100.00	-1	-1	25	222	0	0	0	0
MO_010.bin.4	k__Archaea (UID2)	207	149	107	60.21	30.51	8.33	16745144	549157	134529	134535	151	147	124	120	7796	7504	41.6	9.79	-100.00	-1	-1	52	63	26	5	1	2
MO_010.bin.5	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	343065	7542	1180	1180	364	355	290	284	1616	1575	35.9	3.28	-100.00	-1	-1	93	11	0	0	0	0
MO_010.bin.6	c__Alphaproteobacteria (UID3305)	564	349	230	51.37	2.93	55.56	803582	17708	2827	2827	348	340	284	277	1343	1310	35.9	5.21	-100.00	-1	-1	173	167	9	0	0	0
MO_010.bin.7	k__Bacteria (UID203)	5449	103	57	14.04	0.00	0.00	163887	6236	523	523	403	388	313	301	1772	1713	37.9	3.02	-100.00	-1	-1	93	10	0	0	0	0
MO_010.bin.8	c__Alphaproteobacteria (UID3305)	564	349	230	16.60	0.00	0.00	168271	3902	621	621	342	332	270	264	1253	1225	36.1	2.20	-100.00	-1	-1	285	64	0	0	0	0
MO_034.bin.1	k__Bacteria (UID2570)	433	274	183	71.48	0.00	0.00	216210	8067	652	652	433	414	331	319	2186	2019	35.9	7.12	-100.00	-1	-1	59	215	0	0	0	0
MO_034.bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	103516	2298	350	350	361	353	295	289	1737	1717	34.0	4.65	-100.00	-1	-1	56	0	0	0	0	0
MO_034.bin.11	k__Bacteria (UID203)	5449	104	58	48.56	0.00	0.00	416913	10013	1502	1502	332	323	277	270	1573	1518	34.9	9.98	-100.00	-1	-1	69	35	0	0	0	0
MO_034.bin.12	c__Alphaproteobacteria (UID3305)	564	349	230	31.77	0.01	100.00	352917	7670	1257	1257	350	340	280	274	1372	1266	36.2	4.35	-100.00	-1	-1	230	118	1	0	0	0
MO_034.bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	78941	3040	292	292	358	344	270	259	1111	1045	36.3	6.99	-100.00	-1	-1	56	0	0	0	0	0
MO_034.bin.3	k__Archaea (UID2)	207	149	107	0.58	0.00	0.00	64145	5848	194	194	461	415	330	300	3568	3215	35.4	9.31	-100.00	-1	-1	141	8	0	0	0	0
MO_034.bin.4	k__Bacteria (UID1453)	901	171	117	38.51	0.00	0.00	364827	7063	1255	1255	359	352	290	285	1936	1872	34.4	6.80	-100.00	-1	-1	93	78	0	0	0	0
MO_034.bin.5	p__Cyanobacteria (UID2192)	79	584	458	20.29	0.00	0.00	391118	17697	1480	1480	382	366	264	252	1736	1647	36.1	6.25	-100.00	-1	-1	454	130	0	0	0	0
MO_034.bin.6	k__Bacteria (UID1453)	901	171	117	69.85	3.09	16.67	832204	18089	2692	2692	380	372	309	302	3733	3467	34.6	6.32	-100.00	-1	-1	46	121	3	1	0	0
MO_034.bin.7	root (UID1)	5656	56	24	4.17	0.00	0.00	78640	2385	263	263	374	362	299	289	1711	1673	35.4	4.22	-100.00	-1	-1	55	1	0	0	0	0
MO_034.bin.8	k__Bacteria (UID203)	5449	104	58	5.17	0.00	0.00	74289	1966	271	271	342	328	274	266	1507	1464	35.1	4.88	-100.00	-1	-1	100	4	0	0	0	0
MO_034.bin.9	c__Deltaproteobacteria (UID3216)	83	247	155	91.61	0.16	0.00	1348751	49979	4386	4386	390	376	307	296	2410	2297	37.5	5.26	-100.00	-1	-1	16	230	1	0	0	0
MO_035.bin.1	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	194637	4450	659	659	366	355	295	288	1913	1844	34.8	3.83	-100.00	-1	-1	94	10	0	0	0	0
MO_035.bin.10	k__Bacteria (UID203)	5449	104	58	24.45	1.72	100.00	368921	11496	1175	1175	414	400	313	304	2122	2041	35.7	4.43	-100.00	-1	-1	73	30	1	0	0	0
MO_035.bin.11	k__Bacteria (UID1453)	901	171	117	60.68	8.97	28.57	904337	21461	2817	2817	394	384	321	313	4576	4250	34.7	6.63	-100.00	-1	-1	81	76	14	0	0	0
MO_035.bin.12	k__Bacteria (UID1453)	901	171	117	18.52	0.00	0.00	409867	7387	1399	1399	367	361	292	287	2562	2492	33.7	6.11	-100.00	-1	-1	126	45	0	0	0	0
MO_035.bin.13	k__Bacteria (UID1453)	901	171	117	85.57	5.56	10.00	982840	22792	3127	3127	382	374	314	307	4966	4719	35.0	7.50	-100.00	-1	-1	28	138	4	0	1	0
MO_035.bin.14	p__Cyanobacteria (UID2192)	79	584	458	41.27	0.56	80.00	727963	32657	2718	2718	377	361	267	255	1646	1545	36.2	4.83	-100.00	-1	-1	312	267	5	0	0	0
MO_035.bin.15	k__Bacteria (UID2570)	433	274	183	62.86	0.05	0.00	193390	7282	596	596	425	408	324	312	2186	2017	35.5	7.17	-100.00	-1	-1	88	185	1	0	0	0
MO_035.bin.16	k__Bacteria (UID2565)	2921	143	88	88.22	3.41	0.00	1275669	24596	3519	3519	456	446	362	355	2887	2842	36.2	6.43	-100.00	-1	-1	15	124	4	0	0	0
MO_035.bin.17	p__Proteobacteria (UID3882)	1493	261	164	89.81	3.08	25.00	1207256	41540	3914	3914	391	378	308	297	1813	1749	37.6	6.11	-100.00	-1	-1	22	231	8	0	0	0
MO_035.bin.18	k__Bacteria (UID203)	5449	102	56	34.33	0.00	0.00	590655	21247	1980	1980	389	374	298	287	2044	1969	37.3	4.99	-100.00	-1	-1	73	29	0	0	0	0
MO_035.bin.19	root (UID1)	5656	56	24	0.00	0.00	0.00	247451	8402	767	767	442	430	322	311	1821	1748	37.4	5.45	-100.00	-1	-1	56	0	0	0	0	0
MO_035.bin.2	f__Rhodobacteraceae (UID3356)	67	617	330	97.06	1.12	66.67	1110100	27385	3742	3742	360	350	296	289	2350	2287	35.3	5.57	-100.00	-1	-1	15	596	6	0	0	0
MO_035.bin.20	k__Bacteria (UID203)	5449	104	58	9.48	0.00	0.00	284591	6927	1033	1033	338	328	275	268	1514	1460	34.6	7.90	-100.00	-1	-1	97	7	0	0	0	0
MO_035.bin.21	k__Bacteria (UID203)	5449	104	58	11.90	0.00	0.00	94130	3316	318	318	383	366	296	285	1322	1261	38.2	5.92	-100.00	-1	-1	95	9	0	0	0	0
MO_035.bin.22	o__Rhizobiales (UID3642)	107	485	316	95.72	0.32	0.00	1230369	33433	5807	5807	271	264	211	206	6849	6717	35.8	7.36	-100.00	-1	-1	17	467	1	0	0	0
MO_035.bin.23	root (UID1)	5656	56	24	0.00	0.00	0.00	100377	2861	276	276	514	495	363	353	2633	2585	34.4	3.32	-100.00	-1	-1	56	0	0	0	0	0
MO_035.bin.24	k__Archaea (UID2)	207	149	107	2.04	0.00	0.00	69839	8944	213	215	479	424	327	283	3445	2991	36.5	10.97	-100.00	-1	-1	136	13	0	0	0	0
MO_035.bin.25	f__Rhodobacteraceae (UID3356)	67	617	330	97.68	0.45	0.00	1186172	31301	3838	3838	373	361	309	300	2396	2255	34.8	5.34	-100.00	-1	-1	20	595	2	0	0	0
MO_035.bin.26	c__Gammaproteobacteria (UID4274)	112	581	290	91.12	27.28	24.83	1561346	52195	5242	5242	399	387	297	287	2705	2499	36.3	5.66	-100.00	-1	-1	47	407	116	11	0	0
MO_035.bin.27	root (UID1)	5656	56	24	0.00	0.00	0.00	97840	3048	360	360	408	391	271	263	1110	1059	36.0	6.26	-100.00	-1	-1	56	0	0	0	0	0
MO_035.bin.28	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	123344	3095	449	449	357	349	274	267	1031	1010	34.3	0.00	-100.00	-1	-1	95	9	0	0	0	0
MO_035.bin.29	k__Bacteria (UID1453)	901	171	117	53.28	13.60	54.55	565484	12944	1885	1885	382	375	299	293	2668	2552	34.6	8.59	-100.00	-1	-1	78	73	19	1	0	0
MO_035.bin.3	f__Rhodobacteraceae (UID3356)	67	617	330	26.84	0.36	0.00	312713	7402	1130	1130	339	329	276	270	2103	2050	34.3	6.65	-100.00	-1	-1	450	161	6	0	0	0
MO_035.bin.30	k__Bacteria (UID1453)	901	171	117	95.73	3.21	16.67	1158774	25496	3616	3616	392	382	320	313	6364	5966	34.7	5.67	-100.00	-1	-1	9	158	3	1	0	0
MO_035.bin.31	f__Rhodobacteraceae (UID3356)	67	617	330	37.98	0.30	0.00	454387	11963	1643	1643	340	330	276	269	1512	1461	34.9	4.31	-100.00	-1	-1	359	257	1	0	0	0
MO_035.bin.4	k__Bacteria (UID2565)	2921	143	88	93.18	5.68	25.00	1506233	29832	4141	4141	456	445	363	356	2713	2681	35.3	6.25	-100.00	-1	-1	7	133	2	0	1	0
MO_035.bin.5	k__Bacteria (UID203)	5449	104	58	20.69	0.00	0.00	169387	3023	559	559	377	369	303	297	1347	1307	33.8	5.75	-100.00	-1	-1	87	17	0	0	0	0
MO_035.bin.6	k__Bacteria (UID1452)	924	161	108	44.29	0.93	100.00	477557	8763	1584	1584	366	357	301	295	1697	1673	34.5	3.17	-100.00	-1	-1	88	72	1	0	0	0
MO_035.bin.7	root (UID1)	5656	56	24	0.00	0.00	0.00	136716	2433	457	457	369	361	299	293	1173	1164	33.6	5.13	-100.00	-1	-1	56	0	0	0	0	0
MO_035.bin.8	c__Gammaproteobacteria (UID4274)	112	581	290	19.85	0.00	0.00	207316	7641	758	758	377	364	273	263	1262	1217	36.7	7.46	-100.00	-1	-1	453	128	0	0	0	0
MO_035.bin.9	f__Rhodobacteraceae (UID3356)	67	617	330	66.92	0.20	33.33	722224	17368	2553	2553	344	334	282	276	1387	1342	34.8	7.56	-100.00	-1	-1	202	412	3	0	0	0
MO_039.bin.1	root (UID1)	5656	56	24	0.00	0.00	0.00	305755	17275	1770	1770	262	247	172	162	2251	2039	39.9	7.01	-100.00	-1	-1	56	0	0	0	0	0
MO_039.bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	552825	32765	2797	2797	466	427	197	185	2367	2200	40.5	5.69	-100.00	-1	-1	56	0	0	0	0	0
MO_039.bin.3	k__Archaea (UID2)	207	149	107	0.58	0.00	0.00	63628	5775	193	193	452	414	329	299	3944	3550	35.7	8.95	-100.00	-1	-1	141	8	0	0	0	0
MO_039.bin.4	root (UID1)	5656	56	24	0.00	0.00	0.00	221270	11362	525	525	944	896	421	399	2893	2715	37.1	5.49	-100.00	-1	-1	56	0	0	0	0	0
MO_039.bin.5	o__Rhizobiales (UID3447)	356	416	249	47.29	0.60	50.00	296868	8104	918	918	394	385	323	314	4228	3941	36.7	4.66	-100.00	-1	-1	231	183	2	0	0	0
MO_039.bin.6	k__Archaea (UID2)	207	149	107	5.21	0.00	0.00	987214	30556	8114	8114	150	146	121	117	1959	1857	48.0	10.31	-100.00	-1	-1	142	7	0	0	0	0
MO_039.bin.7	k__Archaea (UID2)	207	149	107	12.30	0.47	0.00	2436997	74794	15291	15292	200	194	159	154	2171	2092	42.6	10.10	-100.00	-1	-1	128	20	1	0	0	0
MO_042.bin.1	k__Bacteria (UID203)	5449	103	57	1.91	0.00	0.00	1036765	51158	7440	7440	183	175	139	132	2965	2820	41.9	8.78	-100.00	-1	-1	101	2	0	0	0	0
MO_042.bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	551129	28538	3638	3638	215	201	151	143	2043	1962	42.2	6.51	-100.00	-1	-1	56	0	0	0	0	0
MO_042.bin.3	root (UID1)	5656	56	24	0.00	0.00	0.00	145775	7505	1098	1098	179	170	132	125	1491	1425	43.1	4.70	-100.00	-1	-1	56	0	0	0	0	0
MO_046.bin.1	p__Cyanobacteria (UID2192)	79	584	458	31.23	1.09	0.00	439428	19251	1663	1663	382	363	264	252	1642	1588	36.0	5.13	-100.00	-1	-1	374	205	5	0	0	0
MO_046.bin.10	k__Bacteria (UID1453)	901	171	117	39.65	0.85	0.00	530959	11768	1716	1716	383	374	309	302	4502	4289	34.6	6.11	-100.00	-1	-1	102	68	1	0	0	0
MO_046.bin.11	p__Cyanobacteria (UID2192)	79	584	458	5.34	0.00	0.00	97316	3428	340	340	410	399	286	276	1797	1722	36.7	3.38	-100.00	-1	-1	534	50	0	0	0	0
MO_046.bin.12	c__Deltaproteobacteria (UID3216)	83	247	155	60.78	0.81	0.00	779245	30599	2677	2677	370	356	291	279	2065	1984	37.3	4.88	-100.00	-1	-1	104	141	2	0	0	0
MO_046.bin.13	k__Bacteria (UID203)	5449	102	56	22.08	0.00	0.00	170786	5139	604	604	374	365	282	274	1423	1385	35.7	5.82	-100.00	-1	-1	77	25	0	0	0	0
MO_046.bin.2	k__Bacteria (UID2570)	433	274	183	61.20	0.27	0.00	167352	6342	566	566	408	390	295	284	2186	2019	35.9	5.62	-100.00	-1	-1	93	180	1	0	0	0
MO_046.bin.3	c__Gammaproteobacteria (UID4267)	119	544	284	40.42	0.53	50.00	462811	12941	1531	1531	394	385	302	293	1876	1821	36.7	5.78	-100.00	-1	-1	298	244	2	0	0	0
MO_046.bin.4	k__Bacteria (UID203)	5449	104	58	12.07	0.00	0.00	167961	5103	563	563	380	365	298	289	1872	1822	35.8	1.00	-100.00	-1	-1	96	8	0	0	0	0
MO_046.bin.5	k__Bacteria (UID203)	5449	104	58	24.14	0.00	0.00	289395	7171	1050	1050	332	322	275	268	1063	1042	35.0	13.22	-100.00	-1	-1	87	17	0	0	0	0
MO_046.bin.6	c__Deltaproteobacteria (UID3216)	83	247	155	94.84	0.81	0.00	1423822	52813	4598	4598	391	378	309	298	2988	2804	37.5	5.47	-100.00	-1	-1	8	237	2	0	0	0
MO_046.bin.7	c__Deltaproteobacteria (UID3216)	83	247	155	28.41	0.22	0.00	525302	19914	1735	1735	395	380	302	291	1843	1768	38.4	6.46	-100.00	-1	-1	160	86	1	0	0	0
MO_046.bin.8	p__Cyanobacteria (UID2192)	79	584	458	63.38	0.44	0.00	1343023	61739	4950	4950	394	375	271	258	4453	4112	36.2	5.20	-100.00	-1	-1	206	374	4	0	0	0
MO_046.bin.9	c__Alphaproteobacteria (UID3305)	564	349	230	67.70	1.09	66.67	975855	21779	3312	3312	359	351	294	288	1515	1468	35.9	4.99	-100.00	-1	-1	107	239	3	0	0	0
MO_071.bin.1	c__Deltaproteobacteria (UID3216)	83	247	155	90.97	1.02	0.00	1317245	51161	4311	4311	387	372	305	293	2118	2042	37.4	5.08	-100.00	-1	-1	20	224	3	0	0	0
MO_071.bin.10	k__Bacteria (UID203)	5449	104	58	42.07	6.90	20.00	633130	18237	2025	2025	391	378	312	303	1513	1450	35.2	5.27	-100.00	-1	-1	72	27	5	0	0	0
MO_071.bin.11	k__Bacteria (UID203)	5449	102	56	7.14	0.00	0.00	80584	2136	263	263	376	363	306	298	1309	1293	35.7	3.79	-100.00	-1	-1	98	4	0	0	0	0
MO_071.bin.12	c__Deltaproteobacteria (UID3216)	83	247	155	89.64	0.81	50.00	1333036	49108	4356	4356	389	376	306	294	2410	2297	37.5	5.63	-100.00	-1	-1	26	219	2	0	0	0
MO_071.bin.13	c__Deltaproteobacteria (UID3216)	83	247	155	60.65	0.67	50.00	1190256	44673	3883	3883	394	378	306	295	1844	1766	38.7	5.95	-100.00	-1	-1	94	151	2	0	0	0
MO_071.bin.14	p__Cyanobacteria (UID2189)	82	579	450	34.89	0.30	0.00	392747	18443	1388	1388	382	363	282	269	1490	1403	37.3	6.91	-100.00	-1	-1	348	229	2	0	0	0
MO_071.bin.15	c__Alphaproteobacteria (UID3305)	564	349	230	86.49	4.57	8.33	1236571	27959	4066	4066	377	368	304	297	1947	1888	36.0	4.69	-100.00	-1	-1	57	280	12	0	0	0
MO_071.bin.16	c__Gammaproteobacteria (UID4267)	119	544	284	51.76	2.11	0.00	571272	16162	1888	1888	393	383	302	294	1628	1534	36.6	6.51	-100.00	-1	-1	284	250	10	0	0	0
MO_071.bin.17	c__Alphaproteobacteria (UID3305)	564	349	230	79.91	7.99	75.00	1386472	30661	4667	4667	363	355	297	290	1515	1466	36.0	4.97	-100.00	-1	-1	62	263	24	0	0	0
MO_071.bin.18	c__Gammaproteobacteria (UID4267)	119	544	284	82.89	6.38	31.03	1057373	32233	3221	3221	409	398	328	318	2435	2345	36.0	5.16	-100.00	-1	-1	78	439	26	1	0	0
MO_071.bin.19	root (UID1)	5656	56	24	8.33	0.00	0.00	93753	2707	316	316	407	399	296	288	1633	1598	35.4	5.51	-100.00	-1	-1	54	2	0	0	0	0
