Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
MO_071.bin.25	31	204702	13595	6238	58
MO_071.bin.26	53	362594	16550	6800	61
MO_071.bin.27	49	313480	11036	6054	66
MO_071.bin.28	301	2808449	36794	9625	59
MO_071.bin.29	79	525674	12678	6743	64
MO_071.bin.2	81	514760	11562	6161	58
MO_071.bin.30	354	3194853	36521	9591	62
MO_071.bin.31	53	368494	15305	6753	62
MO_071.bin.3	69	478537	12293	6895	62
MO_071.bin.4	144	972165	18159	6531	62
MO_071.bin.5	32	214233	12550	6718	59
MO_071.bin.6	114	787932	13749	6838	64
MO_071.bin.7	147	1174215	22831	7615	52
MO_071.bin.8	367	3900819	58591	11509	60
MO_071.bin.9	220	3908671	82024	24933	63
MO_073.bin.10	331	2982073	28926	9621	38
MO_073.bin.11	177	1304021	22407	7247	67
MO_073.bin.12	39	242493	11876	6084	65
MO_073.bin.13	233	1726486	25456	7167	59
MO_073.bin.14	59	390787	17983	6282	63
MO_073.bin.15	121	825131	13525	6527	62
MO_073.bin.16	255	2074159	31248	8080	62
MO_073.bin.17	124	883209	13486	6808	57
MO_073.bin.1	327	3877151	42289	13637	47
MO_073.bin.2	87	622138	17668	6827	63
MO_073.bin.3	304	2354357	32569	7613	50
MO_073.bin.4	330	2662148	26336	8085	66
MO_073.bin.5	34	212826	12727	6082	58
MO_073.bin.6	93	593863	11880	6034	37
MO_073.bin.7	220	4592415	112577	29056	48
MO_073.bin.8	12	207933	33160	25577	30
MO_073.bin.9	316	2348424	17415	7351	61
MO_074.bin.10	167	3613093	124510	32626	60
MO_074.bin.11	260	2392484	37432	9238	61
MO_074.bin.12	143	955691	16963	6335	66
MO_074.bin.13	422	3698397	26848	9326	50
MO_074.bin.14	262	2155577	22193	8370	60
MO_074.bin.15	316	3052332	37207	10076	61
MO_074.bin.16	123	871461	49680	6235	66
MO_074.bin.17	73	5958806	433464	125635	68
MO_074.bin.18	336	3245594	36138	10166	60
MO_074.bin.19	121	896389	19755	7361	49
MO_074.bin.1	171	3643139	93275	29094	61
MO_074.bin.20	199	1691834	29598	8763	42
MO_074.bin.21	96	711901	15582	7351	61
MO_074.bin.22	50	541629	31540	12227	52
MO_074.bin.23	120	4716038	286881	57407	62
MO_074.bin.24	268	2389839	32317	9214	61
MO_074.bin.25	419	4184583	51917	10518	47
MO_074.bin.26	792	7992004	44942	10723	63
MO_074.bin.27	120	889058	16583	7002	60
MO_074.bin.2	236	3876287	92380	19394	63
MO_074.bin.3	119	5078161	214444	87540	66
MO_074.bin.4	401	3570752	37565	9045	67
MO_074.bin.5	224	1653975	18350	7181	70
MO_074.bin.6	321	3936382	53937	14593	47
MO_074.bin.7	83	592437	17767	6970	61
MO_074.bin.8	261	3829788	181400	17612	65
MO_074.bin.9	267	3206967	105491	13909	62
MO_077.bin.10	82	555935	15154	6686	62
MO_077.bin.11	75	491436	9880	6573	59
MO_077.bin.12	127	897562	15308	6930	60
MO_077.bin.13	187	1725656	32032	9680	65
MO_077.bin.14	241	3111412	49136	14739	58
MO_077.bin.15	339	3195610	34994	9959	59
MO_077.bin.16	418	5253094	47665	14108	66
MO_077.bin.17	114	788191	14826	7074	61
MO_077.bin.18	353	4314392	60371	14621	60
MO_077.bin.19	189	1282888	20122	6563	71
MO_077.bin.1	252	2947592	57713	12754	63
MO_077.bin.20	184	1339906	19397	7344	61
MO_077.bin.21	39	241737	9184	6213	65
MO_077.bin.22	535	5146953	106645	10200	49
MO_077.bin.23	253	2273115	36735	9057	63
MO_077.bin.24	159	4825719	269712	48489	48
MO_077.bin.25	127	850099	14390	6403	70
MO_077.bin.26	404	4270524	37789	11591	62
MO_077.bin.27	239	1623297	13278	6778	73
MO_077.bin.28	69	468264	19391	6699	62
MO_077.bin.29	57	376140	21858	6173	60
MO_077.bin.2	50	307608	9522	6093	62
MO_077.bin.30	300	2790327	29349	9546	57
MO_077.bin.3	214	1515725	20861	6905	58
MO_077.bin.4	87	578810	12896	6470	60
MO_077.bin.5	41	284512	16818	6252	52
MO_077.bin.6	156	1109450	21227	7106	64
MO_077.bin.7	263	4735490	106599	24301	67
MO_077.bin.8	159	1189479	23623	7231	65
MO_077.bin.9	235	4879792	85071	31365	46
MO_082.bin.10	200	1426032	20427	7020	64
MO_082.bin.11	311	2347718	27360	7601	72
MO_082.bin.12	131	955683	17170	6936	65
MO_082.bin.13	137	981352	17846	6935	58
MO_082.bin.14	108	702504	15402	6206	66
MO_082.bin.15	13	386704	99551	95085	54
MO_082.bin.16	167	4870744	116723	43403	48
MO_082.bin.17	178	1324129	28830	7479	61
MO_082.bin.18	467	6691892	91780	17043	72
MO_082.bin.19	316	3441644	38208	11849	59
MO_082.bin.1	64	418994	11596	6423	59
MO_082.bin.20	311	3447090	45344	12582	67
MO_082.bin.21	556	5003080	39865	9356	49
MO_082.bin.22	340	4236861	57250	13903	60
MO_082.bin.23	112	836050	21034	7345	63
MO_082.bin.24	221	1637042	23316	7333	65
MO_082.bin.25	413	4364293	44922	11676	62
MO_082.bin.26	291	7730151	154555	38452	71
MO_082.bin.27	350	2635988	20509	7279	73
MO_082.bin.28	249	4245695	73011	23209	67
MO_082.bin.29	120	783614	12706	6452	70
MO_082.bin.2	37	245462	12106	6644	53
MO_082.bin.30	297	2292761	19983	7771	71
MO_082.bin.31	48	304256	13229	5950	59
MO_082.bin.32	211	3460137	105899	20315	65
MO_082.bin.33	351	6187030	99159	22309	66
MO_082.bin.34	72	447228	14259	6071	48
MO_082.bin.35	173	1199817	18240	6872	60
MO_082.bin.36	114	897078	19178	8102	49
MO_082.bin.37	54	349832	11124	6081	66
MO_082.bin.38	140	1138795	38674	7851	61
MO_082.bin.39	53	335660	11979	6094	59
MO_082.bin.3	33	329277	33886	11539	52
MO_082.bin.4	45	285317	11464	6165	62
MO_082.bin.5	59	384472	10157	6537	65
MO_082.bin.6	60	423574	16918	7040	54
MO_082.bin.7	76	549243	15819	7011	47
MO_082.bin.8	9	420336	105262	68409	49
MO_082.bin.9	302	4290318	67557	17558	46
MO_098.bin.10	76	492637	13519	6247	67
MO_098.bin.11	357	2955769	28747	8216	39
MO_098.bin.12	74	497946	12286	6799	61
MO_098.bin.13	333	4022244	58374	14161	47
MO_098.bin.14	1	411025	411025	411025	44
MO_098.bin.15	47	326815	12787	6870	61
MO_098.bin.16	236	1889308	26683	8092	66
MO_098.bin.17	234	1728049	15846	7295	70
MO_098.bin.18	255	2355278	35688	9471	65
MO_098.bin.19	273	4140471	100107	17551	48
MO_098.bin.1	33	200973	9118	5809	72
MO_098.bin.20	92	587823	11541	6051	61
MO_098.bin.21	287	2244930	23203	7738	45
MO_098.bin.22	41	241941	9816	5761	44
MO_098.bin.23	223	1693057	17976	7522	62
MO_098.bin.2	167	1126470	14649	6645	73
MO_098.bin.3	218	1797268	21188	8189	60
MO_098.bin.4	57	377982	11920	6550	41
MO_098.bin.5	44	303614	15676	6631	63
MO_098.bin.6	362	3714827	37813	11416	65
MO_098.bin.7	171	1609451	28477	9889	61
MO_098.bin.8	180	1519892	22226	8394	63
MO_098.bin.9	382	2846624	25951	7252	71
MO_102.bin.10	233	1776801	18691	7721	62
MO_102.bin.11	49	330436	15584	6170	67
MO_102.bin.12	210	4556660	104606	30785	48
MO_102.bin.13	248	1634514	15349	6421	71
MO_102.bin.14	292	2174187	20434	7355	46
MO_102.bin.15	36	222301	11818	6020	44
MO_102.bin.16	128	869403	12498	6825	70
MO_102.bin.17	75	480819	10228	6248	73
MO_102.bin.1	335	2597619	25949	7716	60
MO_102.bin.2	33	250900	32593	7294	60
MO_102.bin.3	41	258105	9983	6272	61
MO_102.bin.4	332	2478536	19576	7516	39
MO_102.bin.5	87	673856	18178	7560	61
MO_102.bin.6	250	2153907	31996	9131	65
MO_102.bin.7	350	3257566	30699	9598	65
MO_102.bin.8	335	4018704	43996	13315	47
MO_102.bin.9	83	568467	12736	6738	63
MO_103.bin.10	195	1692491	39105	8760	41
MO_103.bin.11	66	542654	41024	7834	41
MO_103.bin.12	153	1183628	18070	7732	51
MO_103.bin.13	255	2230631	30232	8976	61
MO_103.bin.14	63	549546	41321	8783	40
MO_103.bin.15	291	3573336	47711	13946	55
MO_103.bin.16	89	604933	14973	6719	44
MO_103.bin.17	202	1462628	15119	7143	60
MO_103.bin.18	230	3038745	77139	15504	54
MO_103.bin.19	184	1433970	38782	7483	56
MO_103.bin.1	145	972248	18776	6533	64
MO_103.bin.20	2	402618	370268	370268	39
MO_103.bin.21	206	1556485	40962	7215	60
MO_103.bin.22	79	558546	16024	6622	39
MO_103.bin.23	113	774754	13488	6676	60
MO_103.bin.24	55	356190	12193	6424	65
MO_103.bin.25	83	569484	26629	6700	65
MO_103.bin.26	215	2470103	51289	12907	45
MO_103.bin.2	70	486763	13795	6747	62
MO_103.bin.3	68	512004	47358	6464	66
MO_103.bin.4	228	1520877	14626	6559	71
MO_103.bin.5	50	312790	9389	6020	49
MO_103.bin.6	81	640058	53087	7343	36
MO_103.bin.7	162	1372316	24405	8411	52
MO_103.bin.8	739	7455045	51892	11063	46
MO_103.bin.9	39	262754	13259	6163	39
MO_106.bin.1	15085	107277540	29683	6954	38
MO_106.bin.2	33	311352	26505	9469	37
MO_133.bin.10	263	4406392	140512	19524	38
MO_133.bin.11	285	4526326	75834	20913	67
MO_133.bin.12	59	380994	15038	5985	72
MO_133.bin.13	249	2657949	53357	11192	65
MO_133.bin.14	115	828384	39744	7016	66
MO_133.bin.15	381	3363550	29188	9218	70
MO_133.bin.16	86	670270	18548	7803	62
MO_133.bin.17	281	4376467	89056	18556	48
MO_133.bin.18	387	4782677	50278	14262	70
MO_133.bin.19	152	1143841	14406	7653	64
MO_133.bin.1	147	1056528	20768	6996	61
MO_133.bin.20	89	4622668	336160	132551	62
MO_133.bin.21	144	1221208	26794	8492	65
MO_133.bin.22	293	4367638	64023	18332	46
MO_133.bin.23	78	486325	12387	6062	66
MO_133.bin.24	42	283397	15975	6767	58
MO_133.bin.25	121	851361	12876	7219	58
MO_133.bin.26	353	3868362	44205	11460	62
MO_133.bin.27	520	5559542	36433	11745	49
MO_133.bin.28	354	3628375	54041	10756	59
MO_133.bin.29	296	3047172	41428	11118	67
MO_133.bin.2	29	226251	15166	7857	44
MO_133.bin.30	104	2635952	98581	35857	62
MO_133.bin.31	148	1084060	20039	7188	57
MO_133.bin.32	1018	11909048	118522	13081	61
MO_133.bin.33	343	3620265	39537	11522	60
MO_133.bin.34	432	5041428	59696	13384	66
MO_133.bin.35	46	324364	12992	7026	58
MO_133.bin.3	185	1331816	14082	7042	60
MO_133.bin.4	212	2144815	41534	10751	44
MO_133.bin.5	37	250219	14810	6525	65
MO_133.bin.6	48	2796362	279403	85999	62
MO_133.bin.7	201	1570325	38274	7423	63
MO_133.bin.8	401	3078159	17400	7708	71
MO_133.bin.9	84	576954	16456	6739	62
MO_135.bin.10	473	3565581	41419	7203	48
MO_135.bin.11	178	1334837	42124	6975	61
MO_135.bin.12	50	333903	18938	6441	37
MO_135.bin.13	27	331802	50005	12835	52
MO_135.bin.14	407	11617576	164900	43102	57
MO_135.bin.15	479	4679776	45413	10224	49
MO_135.bin.1	211	4552155	106353	35086	64
MO_135.bin.2	340	2611656	23654	7556	35
MO_135.bin.3	48	306662	13192	6275	36
MO_135.bin.4	349	3859500	42847	11817	38
MO_135.bin.5	1551	17857722	69313	13060	53
MO_135.bin.6	315	2873400	52049	9545	38
MO_135.bin.7	253	3737800	63648	18010	62
MO_135.bin.8	8977	88830392	57643	10496	48
MO_135.bin.9	348	3360846	29387	10626	58
MO_138.bin.10	141	2622154	101113	22772	62
MO_138.bin.11	295	2895188	32296	10812	66
MO_138.bin.12	135	1942895	71353	18656	63
MO_138.bin.13	511	4937469	30386	10178	49
MO_138.bin.14	135	4305134	207215	52557	62
MO_138.bin.15	346	3715013	43311	12008	62
MO_138.bin.16	105	763076	18984	7025	45
MO_138.bin.17	213	1534299	16218	7012	70
MO_138.bin.18	49	332810	12578	6811	59
MO_138.bin.19	288	3885496	56266	16347	38
MO_138.bin.1	34	211375	11609	5856	65
MO_138.bin.20	323	3575955	34580	12147	67
MO_138.bin.21	22	337013	41985	16627	50
MO_138.bin.22	36	214052	9638	5652	71
MO_138.bin.23	829	7668038	36767	9748	61
MO_138.bin.24	246	4477365	91523	25418	48
MO_138.bin.25	61	410745	20718	6356	62
MO_138.bin.26	41	243710	7946	5734	67
MO_138.bin.27	282	4380592	73844	19037	46
MO_138.bin.28	106	737372	13683	6742	61
MO_138.bin.29	164	1148135	15593	7117	56
MO_138.bin.2	319	2872258	22557	9483	61
MO_138.bin.3	136	1096061	20422	8099	65
MO_138.bin.4	54	370885	14195	6466	60
MO_138.bin.5	325	2797349	28532	8669	59
MO_138.bin.6	40	245430	14556	5835	63
MO_138.bin.7	175	1224601	16552	6880	71
MO_138.bin.8	291	2601120	30251	9311	66
MO_138.bin.9	166	1298476	24738	8136	67
MO_140.bin.10	205	1586760	24241	7610	61
MO_140.bin.11	21	258930	23473	15303	54
MO_140.bin.12	344	3982083	47554	13267	59
MO_140.bin.13	228	2286575	49350	10726	67
MO_140.bin.14	182	4790617	130014	36212	48
MO_140.bin.15	543	6655938	73305	14069	49
MO_140.bin.16	285	2644287	27680	9767	57
MO_140.bin.17	63	2827111	165711	84046	62
MO_140.bin.18	337	4048336	54614	14200	62
MO_140.bin.19	26	241397	33745	8915	60
MO_140.bin.1	229	2558132	51985	12355	65
MO_140.bin.20	82	532303	13951	6243	65
MO_140.bin.21	330	3530947	37948	12074	38
MO_140.bin.22	317	4666623	71519	18241	67
MO_140.bin.23	1065	16594148	195850	20166	61
MO_140.bin.24	416	4637483	77391	12160	70
MO_140.bin.25	184	1355299	17535	7346	61
MO_140.bin.26	139	972683	20959	6572	63
MO_140.bin.27	260	4819476	103274	25804	46
MO_140.bin.28	24	380273	36210	18591	49
MO_140.bin.29	154	2351912	82785	19060	65
MO_140.bin.2	10	320885	104596	42974	32
MO_140.bin.30	204	2123559	38214	11513	44
MO_140.bin.31	394	4563379	62859	12811	70
MO_140.bin.32	357	4364607	49399	13553	60
MO_140.bin.33	186	1360029	18824	7206	57
MO_140.bin.34	114	2583463	104285	33285	63
MO_140.bin.35	450	5124356	56509	12590	66
MO_140.bin.3	40	239660	9979	5853	70
MO_140.bin.4	115	845649	26825	7015	60
MO_140.bin.5	219	1627887	20296	7074	66
MO_140.bin.6	45	303646	18792	6442	62
MO_140.bin.7	85	4388651	276467	96312	62
MO_140.bin.8	313	2723493	24270	9051	60
MO_140.bin.9	172	1135604	14416	6244	71
MO_167.bin.10	18	500723	90129	34299	50
MO_167.bin.11	44	268958	12235	5719	69
MO_167.bin.12	321	7661875	138058	30275	40
MO_167.bin.13	232	1851084	23830	8104	36
MO_167.bin.14	134	911867	14377	6641	64
MO_167.bin.15	304	2336693	33300	7433	62
MO_167.bin.16	279	2115502	26935	7482	43
MO_167.bin.17	190	1327614	28451	6736	61
MO_167.bin.18	515	5783911	61721	11951	37
MO_167.bin.19	155	5728751	193192	57360	60
MO_167.bin.1	20	382553	96017	21784	55
MO_167.bin.20	199	1504744	43364	6972	54
MO_167.bin.21	99	725481	16220	7323	60
MO_167.bin.22	369	5540728	85436	19371	70
MO_167.bin.23	400	3798923	42311	9856	53
MO_167.bin.24	271	1957410	21485	6956	41
MO_167.bin.25	101	4426737	344957	91131	60
MO_167.bin.26	292	5051405	76331	21727	37
MO_167.bin.27	282	7020599	158770	35571	37
MO_167.bin.28	389	3764250	27560	10187	62
MO_167.bin.29	39	3958411	395400	161273	60
MO_167.bin.2	86	2767986	221314	46092	60
MO_167.bin.30	198	7423593	177130	54808	52
MO_167.bin.31	159	1197845	26695	7492	53
MO_167.bin.32	40	252274	10318	6118	62
MO_167.bin.33	131	1017901	16783	7734	55
MO_167.bin.34	200	5037525	136215	33479	70
MO_167.bin.35	284	2054897	21851	7136	70
MO_167.bin.36	88	554612	11998	6079	58
MO_167.bin.37	228	7077029	225742	50342	53
MO_167.bin.38	16	271640	72994	18651	39
MO_167.bin.39	172	3890528	119147	29411	67
MO_167.bin.3	153	1063837	11882	7023	37
MO_167.bin.40	431	3731412	45188	8647	65
MO_167.bin.41	379	5480712	66353	18942	38
MO_167.bin.42	384	5538219	68023	17880	40
MO_167.bin.43	58	676364	70288	13002	37
MO_167.bin.44	441	5598228	69703	15797	56
MO_167.bin.45	166	1127409	14063	6895	60
MO_167.bin.46	333	2690066	25185	8072	70
MO_167.bin.47	313	7507245	108119	30439	39
MO_167.bin.48	50	319370	12445	6132	71
MO_167.bin.49	65	451562	12012	6925	46
MO_167.bin.4	319	3837371	46415	13006	60
MO_167.bin.50	76	4124120	361982	83267	59
MO_167.bin.51	455	8455803	99306	27689	39
MO_167.bin.52	449	5251669	51356	12911	37
MO_167.bin.53	107	756196	12823	6734	41
MO_167.bin.54	274	2187378	23441	7822	50
MO_167.bin.55	19	4179190	1131862	364506	62
MO_167.bin.56	140	1123399	26431	7855	37
MO_167.bin.57	103	1116459	33268	12058	37
MO_167.bin.58	56	353550	9768	6172	59
MO_167.bin.59	258	2000215	23273	7663	62
MO_167.bin.5	48	307603	10354	6359	42
MO_167.bin.6	318	4493629	71813	16530	37
MO_167.bin.7	106	756828	14104	7317	44
MO_167.bin.8	926	8146706	113045	8957	47
MO_167.bin.9	149	1062882	15914	7008	47
MO_170.bin.1	861	8740423	84762	10402	62
MO_170.bin.2	250	1824386	19559	7189	71
MO_170.bin.3	28	279888	26292	8956	55
MO_170.bin.4	295	2426377	29510	8361	66
MO_170.bin.5	429	5982951	88025	18561	60
MO_180.bin.10	237	1909856	56733	7905	60
MO_180.bin.11	19	249005	34499	17929	40
MO_180.bin.1	305	2547752	33903	8430	62
MO_180.bin.2	73	529300	16649	7009	36
MO_180.bin.3	525	5014422	36395	9916	48
MO_180.bin.4	45	277812	9059	6210	55
MO_180.bin.5	121	800538	13023	6619	59
MO_180.bin.6	62	375140	8884	5833	50
MO_180.bin.7	36	226469	9329	6196	36
MO_180.bin.8	100	650270	12148	6281	60
MO_180.bin.9	45	314346	14975	6717	51
MO_184.bin.10	165	1361004	19992	8392	53
MO_184.bin.11	189	1711923	29226	9344	50
MO_184.bin.12	1	255660	255660	255660	59
MO_184.bin.13	38	268563	11592	7281	48
MO_184.bin.14	26664	233939051	51490	8987	40
MO_184.bin.15	37	348421	29768	10120	52
MO_184.bin.1	30	208688	17765	6015	46
MO_184.bin.2	30	291001	24344	10473	48
MO_184.bin.3	27	250146	18066	9446	50
MO_184.bin.4	35	230171	10152	6693	55
MO_184.bin.5	173	1374630	29433	7817	42
MO_184.bin.6	73	612810	18434	8598	51
MO_184.bin.7	26	256138	27982	9769	47
MO_184.bin.8	1	227583	227583	227583	58
MO_184.bin.9	1554	9769759	35136	6069	45
MO_188.bin.10	94	850122	35231	8939	41
MO_188.bin.11	120	807319	12417	6832	67
MO_188.bin.12	229	2998748	60173	14103	60
MO_188.bin.13	82	762847	23070	9476	37
MO_188.bin.14	64	590366	21724	9224	38
MO_188.bin.15	321	2511056	24930	7704	62
MO_188.bin.16	303	2455986	24558	8251	66
MO_188.bin.17	49	413084	16033	8712	38
MO_188.bin.18	203	3207230	56971	19462	60
MO_188.bin.19	436	4665618	54521	11871	36
MO_188.bin.1	378	3892207	32262	11225	38
MO_188.bin.20	92	1856771	112621	25140	34
MO_188.bin.21	296	6652353	100884	30432	37
MO_188.bin.22	4544	47895466	64881	11351	42
MO_188.bin.23	36	418821	24426	14079	56
MO_188.bin.24	175	4185681	162615	31104	39
MO_188.bin.25	55	384653	30218	6472	61
MO_188.bin.26	276	2838973	47478	10822	67
MO_188.bin.27	416	9960745	103590	30971	40
MO_188.bin.28	650	8481554	65540	15021	49
MO_188.bin.29	383	6237134	88002	19974	37
MO_188.bin.2	176	3703352	121668	30707	61
MO_188.bin.30	428	4329447	38591	10560	39
MO_188.bin.31	207	4437475	118317	28609	64
MO_188.bin.32	281	6391702	130767	30258	38
MO_188.bin.33	189	1423140	67363	7006	39
MO_188.bin.34	235	7477145	159745	44427	37
MO_188.bin.35	205	2839642	70184	16433	37
MO_188.bin.36	22	215849	17363	10144	38
MO_188.bin.37	306	3115422	27857	11038	39
MO_188.bin.38	194	1774622	46047	9238	59
MO_188.bin.39	85	3908066	306218	62506	63
MO_188.bin.3	123	916226	40693	7209	40
MO_188.bin.40	138	6519683	272364	74951	62
MO_188.bin.41	40	328194	31419	7635	37
MO_188.bin.42	52	328205	9797	6118	65
MO_188.bin.43	209	1740737	26064	8307	39
MO_188.bin.44	191	5462929	145897	36381	38
MO_188.bin.45	59	591074	28755	11399	40
MO_188.bin.46	131	983369	17332	7569	43
MO_188.bin.47	71	526972	22510	7026	34
MO_188.bin.48	775	8175181	45562	11407	60
MO_188.bin.49	335	3486950	46178	11084	67
MO_188.bin.4	56	360091	35374	5907	66
MO_188.bin.50	62	5343895	332661	160897	64
MO_188.bin.51	72	491633	17831	6441	59
MO_188.bin.52	308	7579305	111436	31945	39
