genomeID	numBGCs
Chlamydiota_Rhabdochlamydiaceae	4
Chlamydiota_SLFE01	2
Chlamydiota_SM2339	3
Chlamydiota_Simkaniaceae	3
Chloroflexota_J033	4
Chloroflexota_Promineofilaceae	3
Chloroflexota_WTJY01	8
Clostridium_botulinum_202F-14157745	1
Couchioplanes_caeruleus_strain_DSM_43634-564383	22
Curtobacterium_sp_MCLR17_058-21756353	10
Cyanobacteria_Calothrix	26
Cyanobacteria_Crocosphaera	9
Cyanobacteria_CrocosphaeraLMEP10873	3
Cyanobacteria_CrocosphaeraSU3	8
Cyanobacteria_Crocosphaerasubtropica	7
Cyanobacteria_Crocosphaerawatsonii	14
Cyanobacteria_Cyanobiaceae	10
Cyanobacteria_Hydrococcus	11
Cyanobacteria_Hyella	21
Cyanobacteria_Mastigocoleus	23
Cyanobacteria_Microcystaceae	8
Cyanobacteria_Myxosarcina	13
Cyanobacteria_Pleurocapsa	12
Cyanobacteria_PleurocapsaPCC7319	22
Cyanobacteria_Rubidibacteraceae	2
Cyanobacteria_Xenococcus	14
Deinococcota_Calidithermus	2
Deinococcota_Deinobacterium	4
Deinococcota_JAAFIG01	4
Deinococcota_Marinithermus	0
Deinococcota_Meiothermus	3
Deinococcota_Oceanithermus	0
Deinococcota_Thermus	1
Deinococcota_Truepera	3
Deinococcus_radiodurans_R1-24323017	4
Delongbacteria_CAIWAD01	2
Delongbacteria_UBA12480	2
Desulfobacterota_Adiutricaceae	3
Desulfobacterota_B13G15	1
Desulfobacterota_BM004	3
Desulfobacterota_Binataceae	6
Desulfobacterota_C00003060	4
Desulfobacterota_CAFBRK01	3
Desulfobacterota_CAIUQR01	5
Desulfobacterota_DRKI01	5
Desulfobacterota_Desulfatibacillaceae	3
Desulfobacterota_Desulfatirhabdiaceae	5
Desulfobacterota_Desulfobaccaceae	6
Desulfobacterota_Desulfobacteraceae	10
Desulfobacterota_Desulfobulbales	6
Desulfobacterota_Desulfosarcina	8
Desulfobacterota_Desulfurivibrio	3
Desulfobacterota_Electronema	4
Desulfobacterota_Electrothrix	2
Desulfobacterota_HGW15	6
Desulfobacterota_JABDIN01	2
Desulfobacterota_JABZFP01	9
Desulfobacterota_RBG165418	1
Desulfobacterota_SG813	6
Desulfobacterota_Smithella	2
Desulfobacterota_Syntrophotaleaceae	4
Desulfobacterota_UBA1149	3
Desulfobacterota_UBA2262	4
Desulfobacterota_UBA5628	1
Eelbacter_gp4_AA13	25
Enterococcus_faecium_NRRL_B2354-11043253	3
Escherichia_coli_str_K12_substr_MG1655-51114512	2
Fibrobacter_succinogenes_subsp_succinogenes_S85-593745	3
Fibrobacterota_CADBQJ01	1
Fibrobacterota_Chitinispirillum	4
Fibrobacterota_Chitinivibrio	4
Fibrobacterota_UBA5070	4
Firmicutes_CAG1435	1
Frankia_sp_EAN1pec-2986537	27
GammaProteo_Acidiferrobacter	3
GammaProteo_Acidithiobacillus	3
GammaProteo_Acidovorax	4
GammaProteo_Arenicella	4
GammaProteo_Beggiatoa	3
GammaProteo_Bordetella	7
GammaProteo_Caballeronia	14
GammaProteo_Chromobacteriaceae	3
GammaProteo_Collimonas	8
GammaProteo_Comamonas	7
GammaProteo_Diaphorobacter	8
GammaProteo_Duganella	7
GammaProteo_Herbaspirillum	4
GammaProteo_J054	6
GammaProteo_JAABTG01	6
GammaProteo_JAACFB01	4
GammaProteo_JAADHU01	3
GammaProteo_JACNJF01	4
GammaProteo_Pseudoalteromonas	2
GammaProteo_Rhodanobacter	4
GammaProteo_SZUA38	3
GammaProteo_Saccharospirillaceae	3
GammaProteo_Sedimenticolaceae	4
GammaProteo_Sedimenticolaceae4ITSTBD	6
GammaProteo_SedimenticolaceaeJABBTK01	9
GammaProteo_Sulfuriflexus	4
GammaProteo_UBA1847	1
GammaProteo_WoeseiaceaeUBA1844	3
Gemmatimonadetes_AG14	1
Gemmatimonadetes_AG28	1
Gemmatimonadetes_AG29	3
Gemmatimonadetes_AG3	1
Gemmatimonadetes_AG38	0
Gemmatimonadetes_AG8	3
Gemmatimonadota_UBA6960	4
Gemmatimonadota_UBA6960BD211	6
Gloeobacter_violaceus_PCC_7421-2512214	7
Jishengella_sp_NA12-16554393	24
Kitasatospora_setae_KM6054-4526523	40
Lactobacillus_fermentum_IFO_3956-3343905	1
MO_004bin3	4
MO_004bin7	6
MO_005bin11	3
MO_005bin12	3
MO_005bin18	3
MO_005bin4	6
MO_005bin9	6
MO_035bin13	1
MO_035bin17	3
MO_035bin2	4
MO_035bin22	3
MO_035bin30	1
MO_035bin4	2
MO_071bin18	4
MO_071bin23	3
MO_074bin10	3
MO_074bin3	11
MO_077bin16	7
MO_082bin18	11
MO_082bin26	10
MO_082bin33	9
MO_102bin8	6
MO_103bin15	4
MO_103bin26	4
MO_133bin10	12
MO_133bin26	3
MO_133bin28	6
MO_135bin1	7
MO_135bin14	76
MO_140bin12	3
MO_140bin15	8
MO_140bin29	1
MO_140bin32	4
MO_140bin35	5
MO_140bin7	4
MO_167bin12	22
MO_167bin18	7
MO_167bin19	10
MO_167bin22	6
MO_167bin27	17
MO_167bin29	4
MO_167bin30	11
MO_167bin34	7
MO_167bin37	7
MO_167bin39	6
MO_167bin4	3
MO_167bin41	15
MO_167bin44	10
MO_167bin47	19
MO_167bin50	3
MO_167bin51	24
MO_167bin55	4
MO_167bin6	17
MO_188bin29	10
MO_188bin31	8
MO_188bin32	12
MO_188bin34	13
MO_188bin40	7
MO_188bin44	10
MO_188bin50	12
MO_188bin8	21
MO_192bin10	14
MO_192bin14	5
MO_192bin15	7
MO_192bin16	0
MO_192bin18	16
MO_192bin19	19
MO_197bin21	5
MO_199bin6	8
MO_202bin2	8
MO_202bin23	7
MO_202bin25	4
MO_202bin26	8
MO_207bin10	6
MO_207bin15	18
MO_226bin1	8
MO_226bin13	25
MO_231bin1	16
MO_234bin1	16
Methylomirabilota_CSP16	3
Methylomirabilota_GWA27335	7
Methylomirabilota_Methylomirabilis	4
Microcystis_aeruginosa_NIES843-4494474	12
Micromonospora_arborensis_strain_NRRL_8041-21165183	21
Moorea_producens_JHB1-14542053	42
Mycobacterium_tuberculosis_H37Rv-8333212	15
Myxococcota_40CM46819	6
Myxococcota_Aggregicoccus	7
Myxococcota_Anaeromyxobacter	7
Myxococcota_Archangium	62
Myxococcota_Bradymonadaceae	7
Myxococcota_CAIOAK01	4
Myxococcota_FEN1118	13
Myxococcota_Halliangium	24
Myxococcota_JAAZNF01	2
Myxococcota_Nannocystis	31
Myxococcota_Plesiocystis	32
Myxococcota_SMWR0	3
Myxococcota_UBA4248	1
Myxococcota_UBA6930	5
Nitrospinota_Nitrospina	5
Nitrospinota_UBA8687	3
Nostoc_punctiforme_PCC_73102-6373711	23
Planctomycetota_B129G9	0
Planctomycetota_Brocadiales	4
Planctomycetota_Gemmatales	11
Planctomycetota_Isosphaerales	6
Planctomycetota_J058	11
Planctomycetota_PLA2	2
Planctomycetota_PUPC01	2
Planctomycetota_Pirellulales	6
Planctomycetota_Planctomycetales	7
Planctomycetota_SLPQ01	5
Planctomycetota_Sedimentisphaerales	1
Planctomycetota_UBA11346	4
Planctomycetota_UBA1135	5
Planctomycetota_UBA8890	6
Plantactinospora_sp_BC1-21084703	24
Prevotella_denticola_F0289-7670313	2
Prochlorococcus_marinus_str_MIT_9312-745465	4
Pseudonocardia_dioxanivorans_CB1190-67563511	10
Rokubacteria_AR20	5
Rubrobacter_xylanophilus_DSM_9941-26611710	9
Salmonella_enterica_subsp_salamae_serovar_57z29z42-17103563	2
Sinorhizobium_fredii_NGR234-3947	12
StCNB440_BA	17
Streptococcus_mutans_NN2025-5116913	8
Streptomyces_coelicolor_A32-10022615	29
Synechococcus_elongatus_PCC_6301-2690846	3
Thermotoga_maritima_MSB8-24327417	1
Thermotogota_Athalassotoga	1
Thermotogota_Fervidobacterium	0
Thermotogota_Geotoga	1
Thermotogota_Kosmotoga	0
Thermotogota_MWEM01	0
Thermotogota_Marinitoga	1
Thermotogota_Mesoaciditoga	0
Thermotogota_Pseudothermotoga	1
Thermotogota_Thermotoga	1
Verrucomicrobia_AV80	5
Verrucomicrobiota_Chthoniobacterales	4
Verrucomicrobiota_Kiritimatiellales	2
Verrucomicrobiota_LD1PB3	4
Verrucomicrobiota_Methylacidiphilales	7
Verrucomicrobiota_Palsa1439	2
Verrucomicrobiota_Verrucomicrobiales	2
Verrucomicrobiota_Victivallales	5
Verrucosispora_sp_CNZ293-20352494	18
Vibrio_cholerae_O1_biovar_El_Tor_str_N16961-24327726	4
Xiangella_phaseoli_strain_DSM_45730-11445485	19
