"Source","Target","Type","Weight"
"MO_071.c_2925.region001","MO_082.c_941.region001","Directed",0.162714496254921
"MO_035.c_977.region001","MO_188.c_2966.region001","Directed",0.413333714008331
"MO_202.c_3944.region001","MO_231.c_2480.region001","Directed",0.331190586090088
"MO_071.c_4207.region001","MO_074.c_188.region001","Directed",0.514787614345551
"MO_074.c_1407.region001","MO_140.c_4683.region001","Directed",0.203639775514603
"MO_004.c_2815.region001","MO_226.c_500.region001","Directed",0.16511569917202
"MO_082.c_1987.region001","MO_133.c_2181.region001","Directed",0.18473419547081
"MO_005.c_1182.region001","MO_202.c_814.region001","Directed",0.695453703403473
"MO_077.c_359.region001","MO_138.c_50.region001","Directed",0.33467298746109
"MO_188.c_6793.region001","MO_192.c_843.region001","Directed",0.160505220293999
"MO_074.c_1169.region001","MO_106.c_999.region001","Directed",0.187679335474968
"MO_082.c_510.region001","MO_197.c_39.region001","Directed",0.997054576873779
"MO_192.c_993.region001","MO_207.c_541.region001","Directed",0.181967079639435
"MO_004.c_488.region001","MO_133.c_334.region001","Directed",0.229899927973747
"MO_103.c_6100.region001","MO_231.c_149.region001","Directed",0.187814861536026
"MO_074.c_378.region001","MO_184.c_257.region001","Directed",0.193325191736221
"MO_207.c_3374.region001","MO_207.c_4738.region001","Directed",0.175406113266945
"MO_046.c_1721.region001","MO_207.c_4738.region001","Directed",0.510749995708466
"MO_034.c_1878.region001","MO_188.c_16911.region001","Directed",0.367324650287628
"MO_005.c_2013.region001","MO_236.c_557.region001","Directed",0.76937735080719
"MO_098.c_4944.region001","MO_202.c_1130.region001","Directed",0.832229495048523
"MO_103.c_6206.region001","MO_192.c_2203.region001","Directed",0.183723270893097
"MO_167.c_9209.region001","MO_192.c_127.region001","Directed",0.669124007225037
"MO_074.c_318.region001","MO_140.c_336.region001","Directed",0.511043429374695
"MO_005.c_1202.region001","MO_034.c_1414.region001","Directed",0.160572603344917
"MO_039.c_40.region001","MO_135.c_2971.region001","Directed",0.609606087207794
"MO_035.c_3931.region001","MO_074.c_2013.region001","Directed",0.728231906890869
"MO_077.c_5073.region001","MO_167.c_6892.region001","Directed",0.186897665262222
"MO_042.c_746.region001","MO_135.c_13597.region001","Directed",0.17720140516758
"MO_071.c_3102.region001","MO_073.c_584.region001","Directed",0.734320819377899
"MO_073.c_707.region001","MO_133.c_1401.region001","Directed",0.390272676944733
"MO_167.c_1285.region001","MO_167.c_562.region001","Directed",0.202556818723679
"MO_071.c_155.region001","MO_077.c_639.region001","Directed",0.997503221035004
"MO_074.c_6730.region001","MO_234.c_1058.region001","Directed",0.161702647805214
"MO_034.c_1878.region001","MO_188.c_13222.region001","Directed",0.317322969436646
"MO_140.c_212.region001","MO_236.c_723.region001","Directed",0.557894885540009
"MO_167.c_13598.region001","MO_192.c_8786.region001","Directed",0.178937956690788
"MO_004.c_126.region001","MO_140.c_160.region001","Directed",0.187760517001152
"MO_135.c_3427.region001","MO_192.c_2565.region001","Directed",0.161782532930374
"MO_135.c_12105.region001","MO_167.c_9112.region001","Directed",0.1949243247509
"MO_077.c_396.region001","MO_170.c_2186.region001","Directed",0.491983503103256
"MO_167.c_1488.region001","MO_188.c_873.region001","Directed",0.191244810819626
"MO_035.c_2605.region001","MO_035.c_913.region001","Directed",0.278781414031982
"MO_077.c_5399.region001","MO_140.c_277.region001","Directed",0.207230344414711
"MO_199.c_2014.region001","MO_207.c_541.region001","Directed",0.198569998145103
"MO_103.c_6206.region001","MO_188.c_7702.region001","Directed",0.292059063911438
"MO_167.c_13362.region001","MO_192.c_2422.region001","Directed",0.179345935583115
"MO_133.c_549.region001","MO_202.c_497.region001","Directed",0.363056421279907
"MO_046.c_465.region001","MO_236.c_533.region001","Directed",0.376974999904633
"MO_071.c_219.region001","MO_197.c_3063.region001","Directed",0.989799737930298
"MO_074.c_2277.region001","MO_167.c_2767.region001","Directed",0.177022740244865
"MO_133.c_170.region001","MO_133.c_648.region001","Directed",0.467606633901596
"MO_133.c_6321.region001","MO_140.c_388.region001","Directed",0.971374154090881
"MO_004.c_2210.region001","MO_199.c_3376.region001","Directed",0.271556168794632
"MO_074.c_3860.region001","MO_103.c_1699.region001","Directed",0.181789144873619
"MO_010.c_13063.region001","MO_140.c_2602.region001","Directed",0.463014245033264
"MO_133.c_6408.region001","MO_140.c_4110.region001","Directed",0.611530840396881
"MO_071.c_1058.region001","MO_138.c_642.region001","Directed",0.194837033748627
"MO_071.c_2777.region001","MO_082.c_1367.region001","Directed",0.269083172082901
"MO_074.c_280.region001","MO_133.c_651.region001","Directed",0.845507979393005
"MO_007.c_18119.region001","MO_074.c_699.region001","Directed",0.176811248064041
"MO_071.c_999.region001","MO_133.c_324.region001","Directed",0.588571131229401
"MO_010.c_7161.region001","MO_133.c_2764.region001","Directed",0.916317462921143
"MO_005.c_1415.region001","MO_167.c_2102.region001","Directed",0.489263504743576
"MO_077.c_676.region001","MO_138.c_1331.region001","Directed",0.846168100833893
"MO_082.c_5132.region001","MO_192.c_2637.region001","Directed",0.202457845211029
"MO_184.c_18184.region001","MO_192.c_780.region001","Directed",0.663061201572418
"MO_103.c_3481.region001","MO_133.c_2591.region001","Directed",0.720500648021698
"MO_103.c_2646.region001","MO_184.c_6370.region001","Directed",0.230849117040634
"MO_005.c_3714.region001","MO_071.c_981.region001","Directed",0.199335366487503
"MO_188.c_10315.region001","MO_202.c_1195.region001","Directed",0.179336473345757
"MO_004.c_3988.region001","MO_138.c_4794.region001","Directed",0.202498361468315
"MO_138.c_5976.region001","MO_138.c_6025.region001","Directed",0.168394774198532
"MO_074.c_82.region001","MO_202.c_252.region001","Directed",0.781995713710785
"MO_135.c_13196.region001","MO_192.c_6901.region001","Directed",0.165577486157417
"MO_074.c_2013.region001","MO_192.c_2934.region001","Directed",0.300974518060684
"MO_071.c_1329.region001","MO_138.c_460.region001","Directed",0.192497581243515
"MO_188.c_6987.region001","MO_199.c_422.region001","Directed",0.19641375541687
"MO_102.c_817.region001","MO_138.c_4794.region001","Directed",0.608742237091064
"MO_135.c_11773.region001","MO_140.c_6231.region001","Directed",0.912884056568146
"MO_106.c_6104.region001","MO_167.c_8072.region001","Directed",0.227284535765648
"MO_167.c_6295.region001","MO_197.c_542.region001","Directed",0.204446241259575
"MO_071.c_195.region001","MO_133.c_4450.region001","Directed",0.702630281448364
"MO_188.c_14456.region001","MO_188.c_15999.region001","Directed",0.162173047661781
"MO_226.c_234.region001","MO_234.c_2577.region001","Directed",0.177850395441055
"MO_133.c_1362.region001","MO_138.c_2202.region001","Directed",0.160244524478912
"MO_074.c_5418.region001","MO_074.c_7004.region001","Directed",0.165917381644249
"MO_005.c_1415.region001","MO_167.c_3253.region001","Directed",0.306658208370209
"MO_135.c_13195.region001","MO_167.c_3516.region001","Directed",0.201391652226448
"MO_133.c_4549.region001","MO_236.c_3733.region001","Directed",0.98530787229538
"MO_034.c_1878.region001","MO_103.c_6206.region001","Directed",0.365819156169891
"MO_005.c_2500.region001","MO_188.c_11739.region001","Directed",0.169268444180489
"MO_071.c_347.region001","MO_082.c_685.region001","Directed",0.398380249738693
"MO_082.c_484.region001","MO_167.c_6295.region001","Directed",0.202460959553719
"MO_074.c_160.region001","MO_167.c_5248.region001","Directed",0.241271868348122
"MO_133.c_2591.region001","MO_140.c_1723.region001","Directed",0.99464625120163
"MO_133.c_4549.region001","MO_184.c_1235.region001","Directed",0.811020851135254
"MO_073.c_1238.region001","MO_188.c_19.region001","Directed",0.160663917660713
"MO_133.c_2577.region001","MO_138.c_5123.region001","Directed",0.190267071127892
"MO_005.c_2130.region001","MO_071.c_1058.region001","Directed",0.195889309048653
"MO_133.c_3724.region001","MO_138.c_5809.region001","Directed",0.350858926773071
"MO_074.c_5418.region001","MO_197.c_4078.region001","Directed",0.214721590280533
"MO_077.c_201.region001","MO_197.c_1849.region001","Directed",0.270697295665741
"MO_082.c_100.region001","MO_098.c_35.region001","Directed",0.632544159889221
"MO_192.c_4658.region001","MO_236.c_42.region001","Directed",0.213198721408844
"MO_188.c_13265.region001","MO_192.c_9192.region001","Directed",0.182145580649376
"MO_103.c_197.region001","MO_207.c_541.region001","Directed",0.321499824523926
"MO_188.c_10315.region001","MO_226.c_3115.region001","Directed",0.201950579881668
"MO_004.c_3988.region001","MO_202.c_2962.region001","Directed",0.173866227269173
"MO_167.c_10693.region001","MO_184.c_3.region001","Directed",0.30296602845192
"MO_074.c_3306.region001","MO_140.c_6030.region001","Directed",0.220178782939911
"MO_098.c_391.region001","MO_184.c_1235.region001","Directed",0.804931342601776
"MO_103.c_1076.region001","MO_188.c_6701.region001","Directed",0.224351450800896
"MO_138.c_3302.region001","MO_234.c_1220.region001","Directed",0.190191328525543
"MO_004.c_3394.region001","MO_207.c_1012.region001","Directed",0.675722897052765
"MO_133.c_3724.region001","MO_140.c_3147.region001","Directed",0.888907074928284
"MO_167.c_1747.region001","MO_188.c_10852.region001","Directed",0.543738722801208
"MO_140.c_7560.region001","MO_188.c_13993.region001","Directed",0.393383949995041
"MO_188.c_13993.region001","MO_226.c_2635.region001","Directed",0.289623320102692
"MO_138.c_3448.region001","MO_188.c_6641.region001","Directed",0.253298789262772
"MO_004.c_2269.region001","MO_167.c_373.region001","Directed",0.245291128754616
"MO_133.c_5586.region001","MO_167.c_6219.region001","Directed",0.564830005168915
"MO_007.c_18119.region001","MO_077.c_7138.region001","Directed",0.335390597581863
"MB.region.BGC0001160","MO_202.c_2962.region001","Directed",0.288071155548096
"MO_135.c_12149.region001","MO_202.c_8381.region001","Directed",0.269019573926926
"MO_042.c_1910.region001","MO_077.c_7153.region001","Directed",0.5791375041008
"MO_005.c_2130.region001","MO_010.c_15468.region001","Directed",0.160942897200584
"MO_192.c_2359.region001","MO_192.c_533.region001","Directed",0.227354764938354
"MO_207.c_2730.region001","MO_226.c_2633.region001","Directed",0.406360507011414
"MO_074.c_1782.region001","MO_135.c_2512.region001","Directed",0.176068872213364
"MO_077.c_7389.region001","MO_098.c_1965.region001","Directed",0.647830188274384
"MO_074.c_160.region001","MO_170.c_227.region001","Directed",0.515196621417999
"MO_202.c_3136.region001","MO_226.c_5617.region001","Directed",0.710328340530396
"MO_071.c_999.region001","MO_082.c_784.region001","Directed",0.525918662548065
"MO_133.c_6833.region001","MO_138.c_6025.region001","Directed",0.254032731056213
"MO_004.c_143.region001","MO_236.c_723.region001","Directed",0.537537217140198
"MO_035.c_1325.region001","MO_140.c_763.region001","Directed",0.171855330467224
"MO_005.c_1009.region001","MO_140.c_1530.region001","Directed",0.715189218521118
"MO_192.c_6976.region001","MO_197.c_788.region001","Directed",0.311494797468185
"MO_170.c_2188.region001","MO_197.c_4011.region001","Directed",0.837335884571075
"MO_140.c_330.region001","MO_167.c_5175.region001","Directed",0.171137422323227
"MO_102.c_1287.region001","MO_103.c_1179.region001","Directed",0.458710104227066
"MO_103.c_6100.region001","MO_138.c_2202.region001","Directed",0.16185437142849
"MO_010.c_2635.region001","MO_236.c_15.region001","Directed",0.639112293720245
"MO_005.c_2019.region001","MO_138.c_2152.region001","Directed",0.242554724216461
"MO_103.c_1185.region001","MO_192.c_3312.region001","Directed",0.165929973125458
"MO_004.c_26.region001","MO_102.c_2228.region001","Directed",0.973991453647614
"MO_135.c_12149.region001","MO_207.c_1741.region001","Directed",0.183829843997955
"MO_010.c_5521.region001","MO_188.c_2966.region001","Directed",0.321805953979492
"MO_007.c_19034.region001","MO_074.c_191.region001","Directed",0.184217691421509
"MO_071.c_6160.region001","MO_192.c_9615.region001","Directed",0.257202118635178
"MO_071.c_4847.region001","MO_082.c_484.region001","Directed",0.239809110760689
"MO_035.c_843.region001","MO_046.c_2645.region001","Directed",0.201948314905167
"MO_071.c_1163.region001","MO_140.c_160.region001","Directed",0.214482545852661
"MO_046.c_104.region001","MO_138.c_1248.region001","Directed",0.34445509314537
"MO_074.c_7004.region001","MO_167.c_13598.region001","Directed",0.226016566157341
"MO_133.c_2591.region001","MO_138.c_5123.region001","Directed",0.16998727619648
"MO_138.c_4715.region001","MO_202.c_2228.region001","Directed",0.705531775951385
"MO_192.c_9046.region001","MO_234.c_7976.region001","Directed",0.160084366798401
"MO_098.c_4944.region001","MO_188.c_53.region001","Directed",0.440614849328995
"MO_077.c_2417.region001","MO_207.c_4738.region001","Directed",0.280177295207977
"MO_167.c_10165.region001","MO_192.c_9192.region001","Directed",0.176854148507118
"MO_135.c_7990.region001","MO_188.c_16515.region001","Directed",0.173355251550674
"MO_004.c_3547.region001","MO_071.c_3020.region001","Directed",0.299613624811172
"MO_188.c_16911.region001","MO_188.c_3222.region001","Directed",0.318904459476471
"MO_133.c_616.region001","MO_167.c_1025.region001","Directed",0.320410877466202
"MO_071.c_3994.region001","MO_236.c_6680.region001","Directed",0.240343526005745
"MO_138.c_3302.region001","MO_202.c_986.region001","Directed",0.190191328525543
"MO_167.c_8873.region001","MO_188.c_16328.region001","Directed",0.164494708180428
"MO_188.c_116.region001","MO_202.c_497.region001","Directed",0.382571637630463
"MO_046.c_324.region001","MO_202.c_363.region001","Directed",0.160282656550407
"MO_138.c_4794.region001","MO_188.c_4798.region001","Directed",0.309278339147568
"MO_138.c_1757.region001","MO_140.c_1649.region001","Directed",0.898359715938568
"MO_004.c_4109.region001","MO_133.c_4168.region001","Directed",0.69188129901886
"MO_103.c_5445.region001","MO_140.c_8362.region001","Directed",0.325892746448517
"MO_074.c_2013.region001","MO_188.c_15999.region001","Directed",0.166199088096619
"MO_188.c_16515.region001","MO_199.c_7094.region001","Directed",0.23533208668232
"MO_071.c_1913.region001","MO_082.c_261.region001","Directed",0.527799785137177
"MO_039.c_3426.region001","MO_188.c_16328.region001","Directed",0.187474191188812
"MO_098.c_823.region001","MO_133.c_5193.region001","Directed",0.184490606188774
"MO_071.c_2035.region001","MO_167.c_131.region001","Directed",0.315739452838898
"MO_071.c_1163.region001","MO_133.c_230.region001","Directed",0.188063874840736
"MO_074.c_6159.region001","MO_192.c_6901.region001","Directed",0.204361617565155
"MO_135.c_13597.region001","MO_234.c_5726.region001","Directed",0.254696696996689
"MO_007.c_9719.region001","MO_133.c_3871.region001","Directed",0.749975442886353
"MO_077.c_6927.region001","MO_140.c_4837.region001","Directed",0.21385470032692
"MO_167.c_13598.region001","MO_188.c_16574.region001","Directed",0.16559673845768
"MO_106.c_6506.region001","MO_140.c_6030.region001","Directed",0.165916740894318
"MO_077.c_2417.region001","MO_098.c_1103.region001","Directed",0.32593435049057
"MO_005.c_63.region001","MO_035.c_2.region002","Directed",0.464873403310776
"MO_082.c_936.region001","MO_170.c_151.region001","Directed",0.812988579273224
"MO_098.c_1103.region001","MO_140.c_50.region001","Directed",0.290945380926132
"MO_073.c_2736.region001","MO_199.c_4226.region001","Directed",0.196982845664024
"MO_103.c_6206.region001","MO_207.c_2730.region001","Directed",0.16958075761795
"MO_167.c_8072.region001","MO_188.c_16328.region001","Directed",0.16893681883812
"MO_077.c_559.region001","MO_133.c_324.region001","Directed",0.936778366565704
"MO_039.c_3426.region001","MO_074.c_2046.region001","Directed",0.171553179621696
"MO_188.c_7432.region001","MO_188.c_7917.region001","Directed",0.275887995958328
"MO_098.c_1605.region001","MO_167.c_402.region001","Directed",0.746746063232422
"MO_188.c_16515.region001","MO_192.c_6901.region001","Directed",0.213237971067429
"MO_077.c_607.region001","MO_140.c_169.region001","Directed",0.960564613342285
"MO_004.c_3988.region001","MO_226.c_3001.region001","Directed",0.160601526498795
"MO_005.c_693.region001","MO_202.c_1728.region001","Directed",0.964390397071838
"MO_102.c_817.region001","MO_103.c_1421.region001","Directed",0.160270735621452
"MO_133.c_6408.region001","MO_207.c_1732.region001","Directed",0.631967425346375
"MO_074.c_4050.region001","MO_135.c_4945.region001","Directed",0.210121005773544
"MO_140.c_6030.region001","MO_199.c_7094.region001","Directed",0.276121258735657
"MO_074.c_0.region001","MO_197.c_396.region001","Directed",0.587455093860626
"MO_192.c_4658.region001","MO_199.c_3376.region001","Directed",0.177424356341362
"MO_167.c_10427.region001","MO_199.c_7094.region001","Directed",0.166253209114075
"MO_005.c_2013.region001","MO_082.c_844.region001","Directed",0.934854030609131
"MO_082.c_723.region001","MO_138.c_5123.region001","Directed",0.614523410797119
"MO_167.c_11163.region001","MO_192.c_6922.region001","Directed",0.935394883155823
"MO_140.c_67.region001","MO_234.c_2083.region001","Directed",0.661825835704803
"MB.region.BGC0001632","MO_192.c_107.region001","Directed",0.179350256919861
"MO_077.c_4722.region001","MO_133.c_976.region001","Directed",0.544158399105072
"MO_007.c_5612.region001","MO_167.c_2927.region001","Directed",0.177858546376228
"MO_138.c_12.region001","MO_140.c_330.region001","Directed",0.928358316421509
"MO_135.c_1691.region001","MO_167.c_2305.region001","Directed",0.177437841892242
"MO_074.c_5391.region001","MO_074.c_6730.region001","Directed",0.214130401611328
"MO_077.c_1222.region001","MO_202.c_750.region001","Directed",0.968815922737122
"MO_073.c_1958.region001","MO_103.c_1076.region001","Directed",0.188443005084991
"MO_077.c_1600.region001","MO_188.c_10460.region001","Directed",0.183764725923538
"MO_188.c_13993.region001","MO_188.c_757.region001","Directed",0.184305176138878
"MO_074.c_4050.region001","MO_106.c_6104.region001","Directed",0.193662047386169
"MO_103.c_6452.region001","MO_226.c_949.region001","Directed",0.162817776203156
"MO_074.c_57.region001","MO_167.c_0.region002","Directed",0.197146162390709
"MO_004.c_2269.region001","MO_138.c_2202.region001","Directed",0.258857727050781
"MO_074.c_5418.region001","MO_188.c_16574.region001","Directed",0.19584359228611
"MO_034.c_1414.region001","MO_082.c_5132.region001","Directed",0.247442469000816
"MO_098.c_35.region001","MO_197.c_323.region001","Directed",0.667270600795746
"MO_010.c_5521.region001","MO_192.c_991.region001","Directed",0.87002295255661
"MO_074.c_4845.region001","MO_074.c_6159.region001","Directed",0.170796081423759
"MO_077.c_490.region001","MO_197.c_3368.region001","Directed",0.997812390327454
"MO_140.c_388.region001","MO_170.c_2188.region001","Directed",0.452009856700897
"MO_071.c_195.region001","MO_184.c_237.region001","Directed",0.275807291269302
"MO_103.c_2646.region001","MO_188.c_7702.region001","Directed",0.205983325839043
"MO_103.c_6452.region001","MO_226.c_1636.region001","Directed",0.21860383450985
"MO_071.c_551.region001","MO_082.c_654.region001","Directed",0.796707928180695
"MO_133.c_602.region001","MO_197.c_3212.region001","Directed",0.810782194137573
"MO_207.c_2641.region001","MO_226.c_1761.region001","Directed",0.316617339849472
"MO_074.c_6319.region001","MO_192.c_8803.region001","Directed",0.218404367566109
"MO_005.c_2013.region001","MO_102.c_5367.region001","Directed",0.16226501762867
"MO_010.c_10612.region001","MO_226.c_969.region001","Directed",0.173081770539284
"MO_046.c_690.region001","MO_236.c_42.region001","Directed",0.416588127613068
"MO_077.c_559.region001","MO_082.c_784.region001","Directed",0.973707616329193
"MO_138.c_1441.region001","MO_140.c_4922.region001","Directed",0.999043583869934
"MO_042.c_755.region001","MO_082.c_348.region001","Directed",0.246773615479469
"MO_074.c_4257.region001","MO_192.c_9192.region001","Directed",0.207847088575363
"MO_199.c_4285.region001","MO_202.c_2127.region001","Directed",0.221927329897881
"MO_138.c_1324.region001","MO_184.c_9.region001","Directed",0.239710941910744
"MO_077.c_1600.region001","MO_133.c_591.region001","Directed",0.300910025835037
"MO_170.c_2186.region001","MO_197.c_1560.region001","Directed",0.616263747215271
"MO_042.c_755.region001","MO_077.c_434.region001","Directed",0.265008509159088
"MO_005.c_1415.region001","MO_071.c_2035.region001","Directed",0.289693206548691
"MO_082.c_4433.region001","MO_167.c_10427.region001","Directed",0.167310804128647
"MO_103.c_2051.region001","MO_192.c_5550.region001","Directed",0.168944418430328
"MO_135.c_7990.region001","MO_192.c_2934.region001","Directed",0.180035516619682
"MO_004.c_12.region001","MO_042.c_755.region001","Directed",0.313077598810196
"MO_073.c_1958.region001","MO_133.c_5586.region001","Directed",0.546665489673615
"MO_103.c_748.region001","MO_167.c_12039.region001","Directed",0.300303995609283
"MO_077.c_2925.region001","MO_133.c_1362.region001","Directed",0.404675245285034
"MO_192.c_4658.region001","MO_226.c_3115.region001","Directed",0.401284039020538
"MO_082.c_348.region001","MO_138.c_5759.region001","Directed",0.295756220817566
"MO_098.c_3959.region001","MO_138.c_6515.region001","Directed",0.715738296508789
"MO_103.c_1504.region001","MO_167.c_12.region001","Directed",0.493486553430557
"MO_034.c_1407.region001","MO_071.c_3102.region001","Directed",0.914504408836365
"MO_071.c_2654.region001","MO_140.c_1403.region001","Directed",0.375309735536575
"MO_035.c_6337.region001","MO_074.c_4050.region001","Directed",0.180867418646812
"MO_005.c_173.region001","MO_098.c_1756.region001","Directed",0.662856221199036
"MO_103.c_146.region001","MO_170.c_1200.region001","Directed",0.187028914690018
"MO_133.c_3777.region001","MO_138.c_5976.region001","Directed",0.216228991746902
"MO_167.c_15837.region001","MO_167.c_4379.region001","Directed",0.2745461165905
"MO_140.c_316.region001","MO_188.c_116.region001","Directed",0.29757359623909
"MO_103.c_3504.region001","MO_135.c_13196.region001","Directed",0.175720974802971
"MO_192.c_134.region001","MO_192.c_36.region001","Directed",0.42633056640625
"MO_005.c_63.region001","MO_077.c_201.region001","Directed",0.543153524398804
"MO_138.c_971.region001","MO_197.c_788.region001","Directed",0.339832931756973
"MO_071.c_4847.region001","MO_140.c_1083.region001","Directed",0.499708294868469
"MO_071.c_3994.region001","MO_199.c_3376.region001","Directed",0.30496084690094
"MO_167.c_16022.region001","MO_188.c_13222.region001","Directed",0.241686329245567
"MO_004.c_12.region001","MO_192.c_1257.region001","Directed",0.162712976336479
"MO_073.c_2137.region001","MO_192.c_7940.region001","Directed",0.299018651247025
"MO_010.c_13494.region001","MO_192.c_9150.region001","Directed",0.18806391954422
"MO_071.c_3102.region001","MO_138.c_1331.region001","Directed",0.656080484390259
"MO_005.c_4323.region001","MO_140.c_5629.region001","Directed",0.946235358715057
"MO_192.c_9046.region001","MO_192.c_9192.region001","Directed",0.251048803329468
"MO_077.c_490.region001","MO_082.c_335.region001","Directed",0.993327736854553
"MO_046.c_2645.region001","MO_188.c_6458.region001","Directed",0.162486001849174
"MO_167.c_16310.region001","MO_226.c_2780.region001","Directed",0.18241785466671
"MO_071.c_3020.region001","MO_077.c_3635.region001","Directed",0.29866024851799
"MO_103.c_2214.region001","MO_192.c_5395.region001","Directed",0.254958301782608
"MO_082.c_2886.region001","MO_140.c_1737.region001","Directed",0.664610862731934
"MO_133.c_616.region001","MO_133.c_657.region001","Directed",0.21932578086853
"MO_192.c_2637.region001","MO_207.c_242.region001","Directed",0.434049516916275
"MO_073.c_791.region001","MO_077.c_607.region001","Directed",0.63108766078949
"MO_138.c_4794.region001","MO_199.c_5150.region001","Directed",0.181908786296844
"MO_102.c_817.region001","MO_202.c_2447.region001","Directed",0.176324933767319
"MO_167.c_4125.region001","MO_188.c_4449.region001","Directed",1
"MO_197.c_1317.region001","MO_202.c_2228.region001","Directed",0.980340480804443
"MO_170.c_243.region001","MO_202.c_808.region001","Directed",0.195293337106705
"MO_035.c_3931.region001","MO_106.c_6104.region001","Directed",0.239234104752541
"MO_039.c_3988.region001","MO_188.c_13650.region001","Directed",0.209129378199577
"MO_074.c_60.region001","MO_202.c_35.region001","Directed",0.48799204826355
"MO_007.c_16435.region001","MO_046.c_104.region001","Directed",0.913854777812958
